Date,Portfolio_Value
2019-07-19,359396.0893443747
2019-07-22,359789.1158940832
2019-07-23,357123.5489968936
2019-07-24,362420.4499501948
2019-07-25,368401.74215323257
2019-07-26,380452.8897926255
2019-07-29,371011.9372370082
2019-07-30,370357.74933395284
2019-07-31,363772.2541350208
2019-08-01,367227.0681405997
2019-08-02,354514.34532396874
2019-08-05,349847.8477522927
2019-08-06,343987.63761380466
2019-08-07,357304.9697358075
2019-08-08,365121.0065639968
2019-08-09,356517.675251678
2019-08-13,357978.7839934369
2019-08-14,357697.7586704691
2019-08-16,359129.44699886296
2019-08-19,363072.7189887965
2019-08-20,358848.89423647744
2019-08-21,347570.9273832644
2019-08-22,352543.0176129175
2019-08-23,350042.33142993826
2019-08-26,342234.9930750816
2019-08-27,350020.5490533191
2019-08-28,346820.1717168141
2019-08-29,346975.898000054
2019-08-30,344328.3910139459
2019-09-03,350059.51065619703
2019-09-04,348097.21533344756
2019-09-05,349771.4030172381
2019-09-06,353435.8552928458
2019-09-09,352676.1275416663
2019-09-11,345804.95895246405
2019-09-12,354993.1496085053
2019-09-13,352901.6909840933
2019-09-16,347743.74087568535
2019-09-17,344032.59154747607
2019-09-18,336428.3035579364
2019-09-19,363318.17232130724
2019-09-20,358930.04246344866
2019-09-23,370371.0861796222
2019-09-24,370617.2896909862
2019-09-25,375613.70557036664
2019-09-26,379161.83077018854
2019-09-27,390528.95885285415
2019-09-30,382334.80819873186
2019-10-01,384765.99509595934
2019-10-03,372699.86021630804
2019-10-04,374680.8931050101
2019-10-07,393230.3340166291
2019-10-09,392929.26014091796
2019-10-10,408861.15086424426
2019-10-11,410771.03532913065
2019-10-14,417131.763062115
2019-10-15,416466.70813515625
2019-10-16,416091.5185907215
2019-10-17,419161.08381530805
2019-10-18,417948.8031896384
2019-10-22,421758.7892376871
2019-10-23,424183.16048915224
2019-10-24,432933.74040786875
2019-10-25,431049.21308457555
2019-10-27,447175.1538328257
2019-10-29,458981.7188703995
